InvoiceYearMonth	MonthlyGrowth
201702	0.8367201520038949
201703	0.552182651986435
201704	-0.015687521405228444
201705	0.41153454403409184
201706	-0.1755722790740537
201707	0.21495009626335126
201708	0.12231872876998207
201709	0.18734278496657342
201710	-0.0185260597274578
201711	0.549560404224033
201712	-0.3188233326734302
201801	0.3267080124572743
201802	-0.07641473148122646
201803	0.12651437267421728
201804	0.020863450737955924
201805	0.011247169424441372
201806	-0.12284401922517241
201807	0.009935296007038685
201808	-0.058820375914808265
201809	-0.999850485554863
